page,product_name,price,link
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Long sleeve thermal T-shirt,25,https://static.lefties.com/9/photos2/2023/V/0/1/p/5189/300/500/5189300500_1_1_3.jpg?t=1672661761144
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Textured short sleeve T-shirt,39,https://static.lefties.com/9/photos2/2023/V/0/1/p/1001/366/250/1001366250_1_1_3.jpg?t=1680590832589
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,T-shirt with criss-cross straps,39,https://static.lefties.com/9/photos2/2023/I/0/1/p/5122/311/250/5122311250_1_1_3.jpg?t=1683202522863
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Loose-fitting short sleeve T-shirt,39,https://static.lefties.com/9/photos2/2023/V/0/1/p/1001/312/305/1001312305_1_1_3.jpg?t=ts
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Pack of 2 printed T-shirts,39,null
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Sporty vest top,39,https://static.lefties.com/9/photos2/2023/I/0/1/p/1166/303/628/1166303628_1_1_3.jpg?t=1683122170381
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Sporty vest top,39,https://static.lefties.com/9/photos2/2023/I/0/1/p/1166/303/628/1166303628_1_1_3.jpg?t=1683122170381
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,T-shirt with ruffled sleeves,29,https://static.lefties.com/9/photos2/2023/V/0/1/p/1001/313/650/1001313650_1_1_3.jpg?t=1687258593204
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,T-shirt with ruffled sleeves,29,https://static.lefties.com/9/photos2/2023/V/0/1/p/1001/313/416/1001313416_1_1_3.jpg?t=1687258593204
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,T-shirt with ruffled sleeves,29,https://static.lefties.com/9/photos2/2023/V/0/1/p/1001/313/650/1001313650_1_1_3.jpg?t=1687258593204
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Pack of 2 lace trim strappy tops,39,https://static.lefties.com/9/photos2/2023/V/0/1/p/5122/302/537/5122302537_1_1_3.jpg?t=1687340813610
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,T-shirt with criss-cross straps,39,https://static.lefties.com/9/photos2/2023/I/0/1/p/5122/311/406/5122311406_1_1_3.jpg?t=1683202522863
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Cropped short sleeve T-shirt,29,https://static.lefties.com/9/photos2/2023/I/0/1/p/1001/375/800/1001375800_1_1_3.jpg?t=1682417425205
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Strappy stretch bodysuit,39,https://static.lefties.com/9/photos2/2023/V/0/1/p/1006/300/443/1006300443_1_1_3.jpg?t=1684761130262
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Pack of 2 lace trim strappy tops,39,https://static.lefties.com/9/photos2/2023/V/0/1/p/5122/302/441/5122302441_1_1_3.jpg?t=1687340813610
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Pack of 2 printed T-shirts,29,https://static.lefties.com/9/photos2/2023/V/0/1/p/5002/301/721/5002301721_1_1_3.jpg?t=1686649601033
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Wool blend T-shirt,39,https://static.lefties.com/9/photos2/2023/V/0/1/p/5032/303/701/5032303701_1_1_3.jpg?t=1663768998526
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Pack of 2 printed T-shirts,29,https://static.lefties.com/9/photos2/2023/V/0/1/p/5002/301/251/5002301251_1_1_3.jpg?t=1686649601033
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Pack of 2 basic V-neck T-shirts,29,https://static.lefties.com/9/photos2/2023/V/0/1/p/1001/314/650/1001314650_1_1_3.jpg?t=ts
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Pack of 2 basic V-neck T-shirts,29,https://static.lefties.com/9/photos2/2023/V/0/1/p/1001/314/403/1001314403_1_1_3.jpg?t=ts
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Short sleeve linen-effect T-shirt,39,https://static.lefties.com/9/photos2/2023/V/0/1/p/1001/354/502/1001354502_1_1_3.jpg?t=1683014161368
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Short sleeve linen-effect T-shirt,39,https://static.lefties.com/9/photos2/2023/V/0/1/p/1001/354/638/1001354638_1_1_3.jpg?t=1683014161368
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Short sleeve linen-effect T-shirt,39,https://static.lefties.com/9/photos2/2023/V/0/1/p/1001/354/250/1001354250_1_1_3.jpg?t=1683014161368
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Short sleeve knit sweater,69,https://static.lefties.com/9/photos2/2023/I/0/1/p/1621/316/600/1621316600_1_1_3.jpg?t=1680246660885
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Short sleeve knit sweater,69,https://static.lefties.com/9/photos2/2023/I/0/1/p/1621/316/250/1621316250_1_1_3.jpg?t=1680246660885
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Ruffled T-shirt,39,https://static.lefties.com/9/photos2/2023/V/0/1/p/1001/344/250/1001344250_1_1_3.jpg?t=1679493496444
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Check-texture T-shirt,29,https://static.lefties.com/9/photos2/2023/V/0/1/p/1001/346/520/1001346520_1_1_3.jpg?t=1682413216485
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Check-texture T-shirt,29,https://static.lefties.com/9/photos2/2023/V/0/1/p/1001/346/482/1001346482_1_1_3.jpg?t=1682413216485
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Ruffled T-shirt,39,https://static.lefties.com/9/photos2/2023/V/0/1/p/1001/344/250/1001344250_1_1_3.jpg?t=1679493496444
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Sleeveless openwork top,79,https://static.lefties.com/9/photos2/2023/I/0/1/p/1621/310/250/1621310250_1_1_3.jpg?t=1679487030709
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,2-Pack of basic cropped T-shirts,39,https://static.lefties.com/9/photos2/2023/I/0/1/p/1010/321/800/1010321800_1_1_3.jpg?t=1674806178843
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Open knit top,69,https://static.lefties.com/9/photos2/2023/I/0/1/p/1621/309/250/1621309250_1_1_3.jpg?t=1679493788434
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Ribbed knit T-shirt,39,https://static.lefties.com/9/photos2/2023/V/0/1/p/5032/311/250/5032311250_1_1_3.jpg?t=1664452682656
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Loose-fitting short sleeve T-shirt,39,https://static.lefties.com/9/photos2/2023/V/0/1/p/1001/312/502/1001312502_1_1_3.jpg?t=ts
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Loose-fitting short sleeve T-shirt,39,https://static.lefties.com/9/photos2/2023/V/0/1/p/1001/312/800/1001312800_1_1_3.jpg?t=ts
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Cropped short sleeve T-shirt,29,https://static.lefties.com/9/photos2/2023/V/0/1/p/1001/362/200/1001362200_1_1_3.jpg?t=1679384410786
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Cropped short sleeve T-shirt,29,https://static.lefties.com/9/photos2/2023/V/0/1/p/1001/362/601/1001362601_1_1_3.jpg?t=1679384410786
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Cropped short sleeve T-shirt,29,https://static.lefties.com/9/photos2/2023/V/0/1/p/1001/362/064/1001362064_1_1_3.jpg?t=1679384410786
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Pack of 2 printed T-shirts,29,https://static.lefties.com/9/photos2/2023/V/0/1/p/5002/301/653/5002301653_1_1_3.jpg?t=1686649601033
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Pack of 2 racerback T-shirts,29,https://static.lefties.com/9/photos2/2023/V/0/1/p/5122/354/668/5122354668_1_1_3.jpg?t=1684935733931
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Strappy stretch bodysuit,39,https://static.lefties.com/9/photos2/2023/V/0/1/p/1006/300/653/1006300653_1_1_3.jpg?t=1684761130262
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Pack of 2 lace trim strappy tops,39,https://static.lefties.com/9/photos2/2023/V/0/1/p/5122/302/936/5122302936_1_1_3.jpg?t=1687340813610
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Strappy stretch bodysuit,39,https://static.lefties.com/9/photos2/2023/V/0/1/p/1006/300/649/1006300649_1_1_3.jpg?t=1684761130262
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Seamless T-shirt,39,https://static.lefties.com/9/photos2/2023/V/0/1/p/1031/300/403/1031300403_1_1_3.jpg?t=1682426706289
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Seamless T-shirt,39,https://static.lefties.com/9/photos2/2023/V/0/1/p/1031/300/806/1031300806_1_1_3.jpg?t=1682426706289
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Seamless top,29,https://static.lefties.com/9/photos2/2023/V/0/1/p/1121/300/403/1121300403_1_1_3.jpg?t=1687251618129
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Seamless top,29,https://static.lefties.com/9/photos2/2023/V/0/1/p/1121/300/806/1121300806_1_1_3.jpg?t=1687251618129
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Seamless T-shirt,69,https://static.lefties.com/9/photos2/2023/I/0/1/p/1031/300/800/1031300800_1_1_3.jpg?t=1682426706289
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Long sleeve thermal T-shirt,25,https://static.lefties.com/9/photos2/2023/V/0/1/p/5189/300/629/5189300629_1_1_3.jpg?t=1672661761144
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Pack of 2 basic round neck T-shirts,29,https://static.lefties.com/9/photos2/2023/V/0/1/p/1001/316/955/1001316955_1_1_3.jpg?t=1685177542785
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Pack of 2 basic round neck T-shirts,29,https://static.lefties.com/9/photos2/2023/V/0/1/p/1001/316/955/1001316955_1_1_3.jpg?t=1685177542785
